Model,Accuracy,Precision,Recall,F1_Score
Random Forest,0.258,0.257,0.258,0.2572
LightGBM,0.258,0.2575,0.258,0.2571
CatBoost,0.2425,0.242,0.2425,0.2418
XGBoost,0.231,0.2295,0.231,0.2299
