feature,feature_group,feature_type,currently_used,missing_values_train,unique_values,data_type,leakage_risk,scientifically_reasonable_for_crop_recommendation,chi2,p_value,cramers_v,normalized_mutual_info_with_target,max_category_purity,largest_category_count_train,distribution_file
Region,Location/agricultural variables,categorical,False,0,4,str,LOW,Yes,13.962642807985333,0.12366031487432701,0.014380801970013622,0.0006292267593346698,0.26859710434348477,2036,E:\Devops\Crop-Fertilizer-Recommendation-System\data\processed\class_distribution_by_Region.csv
Soil_Type,Soil properties,categorical,False,0,4,str,LOW,Yes,6.961405392953978,0.6411377975098623,0.0,0.0003152120869336629,0.26210092687950565,2069,E:\Devops\Crop-Fertilizer-Recommendation-System\data\processed\class_distribution_by_Soil_Type.csv
Season,Location/agricultural variables,categorical,False,0,3,str,LOW,Yes,5.373470401585979,0.49687945810631373,0.0,0.00024223164730343137,0.2638473053892216,2672,E:\Devops\Crop-Fertilizer-Recommendation-System\data\processed\class_distribution_by_Season.csv
