Crop,Count,Percentage
Banana,289,9.99
Jute,247,8.54
Maize,608,21.02
Mango,255,8.82
Pineapple,181,6.26
Potato,324,11.2
Strawberry,443,15.32
Sugercane,180,6.22
Wheat,365,12.62
