Crop Name,mean,median,std,min,max
Banana,66.85714285714286,66.0,4.400733987339973,60,75
Jute,80.98989898989899,81.0,0.9178981673272553,79,82
Maize,89.40329218106996,90.0,1.7284488800508537,84,92
Mango,77.40686274509804,77.0,1.1387279917506072,75,80
Pineapple,83.68275862068965,84.0,0.742587894871169,81,85
Potato,54.15444015444015,54.0,2.841976598040127,50,60
Strawberry,94.28531073446328,94.0,1.7670125039992086,92,99
Sugercane,46.5625,46.0,1.6502542715712514,44,51
Wheat,39.15068493150685,40.0,3.4108024587211436,31,46
