Crop Name,mean,median,std,min,max
Banana,0.6685714285714286,0.66,0.04400733987339972,0.6,0.75
Jute,0.80989898989899,0.81,0.009178981673272493,0.79,0.82
Maize,0.8940329218106996,0.9,0.017284488800508528,0.84,0.92
Mango,0.7740686274509804,0.77,0.01138727991750606,0.75,0.8
Pineapple,0.8368275862068965,0.84,0.00742587894871171,0.81,0.85
Potato,0.5415444015444015,0.54,0.028419765980401242,0.5,0.6
Strawberry,0.9428531073446327,0.94,0.017670125039992046,0.92,0.99
Sugercane,0.46562499999999996,0.46,0.0165025427157125,0.44,0.51
Wheat,0.39150684931506846,0.4,0.034108024587211454,0.31,0.46
