Crop Name,mean,median,std,min,max
Banana,21.675064935064935,21.5,4.602589806896518,13.91,30.64
Jute,21.23833333333333,20.055,4.880306093212984,11.84,30.21
Maize,27.39150205761317,28.115000000000002,2.129466417604912,17.93,30.8
Mango,25.39671568627451,28.025,4.987751252735204,11.98,29.9
Pineapple,24.65462068965517,27.29,4.5018827883283175,14.77,30.63
Potato,25.356911196911195,27.18,5.166767814322818,13.76,33.3
Strawberry,27.853813559322035,28.06,1.1959406691477519,21.08,30.05
Sugercane,23.648194444444446,24.115,4.708810170379373,15.73,32.81
Wheat,27.040479452054793,28.18,4.713431248421576,15.14,34.3
