Crop Name,mean,median,std,min,max
Banana,73.85294372294372,73.94,9.407421029551825,42.94,92.31
Jute,81.70676767676768,82.28,5.632602761116188,69.19,95.0
Maize,87.47382716049383,88.69,4.582899879118424,68.94,95.44
Mango,84.76475490196077,86.12,5.8139973309472355,61.06,94.69
Pineapple,84.02282758620689,85.19,5.66859779637006,70.56,93.94
Potato,70.56138996138996,71.69,9.769985618758685,46.31,92.81
Strawberry,89.58090395480225,90.59,3.990944463089294,71.38,95.56
Sugercane,59.44645833333334,60.56,9.960799773317694,32.69,79.31
Wheat,57.69715753424657,58.41,10.520319912810697,30.69,82.75
