feature,feature_group,leakage_classification,anova_f,p_value,eta_squared,mutual_info,mean_range_across_crops,normalized_mean_range
Soil,Soil properties,UNKNOWN,18524.117453328956,0.0,0.9846907185905813,2.090188170731645,0.5513462580295643,26.68027849421152
Soil_Moisture,Soil properties,SAFE_PRE_PLANT,18524.117453328643,0.0,0.9846907185905813,2.0900365285892826,55.13462580295643,26.680278494211507
Humidity,Weather/environment,SAFE_PRE_PLANT,683.8527411009485,0.0,0.703658807738973,0.5833529869714216,31.88374642055568,4.391191961476301
Temperature,Weather/environment,SAFE_PRE_PLANT,93.80489912064384,3.3253202238837625e-135,0.24568804469689154,0.3671597729864735,6.615480225988705,1.6141027672103214
