Crop Name,Soil_mean,Soil_median,Soil_std,Soil_min,Soil_max,Soil_Moisture_mean,Soil_Moisture_median,Soil_Moisture_std,Soil_Moisture_min,Soil_Moisture_max,Humidity_mean,Humidity_median,Humidity_std,Humidity_min,Humidity_max,Temperature_mean,Temperature_median,Temperature_std,Temperature_min,Temperature_max
Banana,0.6685714285714286,0.66,0.04400733987339972,0.6,0.75,66.85714285714286,66.0,4.400733987339973,60,75,73.85294372294372,73.94,9.407421029551825,42.94,92.31,21.675064935064935,21.5,4.602589806896518,13.91,30.64
Jute,0.80989898989899,0.81,0.009178981673272493,0.79,0.82,80.98989898989899,81.0,0.9178981673272553,79,82,81.70676767676768,82.28,5.632602761116188,69.19,95.0,21.23833333333333,20.055,4.880306093212984,11.84,30.21
Maize,0.8940329218106996,0.9,0.017284488800508528,0.84,0.92,89.40329218106996,90.0,1.7284488800508537,84,92,87.47382716049383,88.69,4.582899879118424,68.94,95.44,27.39150205761317,28.115000000000002,2.129466417604912,17.93,30.8
Mango,0.7740686274509804,0.77,0.01138727991750606,0.75,0.8,77.40686274509804,77.0,1.1387279917506072,75,80,84.76475490196077,86.12,5.8139973309472355,61.06,94.69,25.39671568627451,28.025,4.987751252735204,11.98,29.9
Pineapple,0.8368275862068965,0.84,0.00742587894871171,0.81,0.85,83.68275862068965,84.0,0.742587894871169,81,85,84.02282758620689,85.19,5.66859779637006,70.56,93.94,24.65462068965517,27.29,4.5018827883283175,14.77,30.63
Potato,0.5415444015444015,0.54,0.028419765980401242,0.5,0.6,54.15444015444015,54.0,2.841976598040127,50,60,70.56138996138996,71.69,9.769985618758685,46.31,92.81,25.356911196911195,27.18,5.166767814322818,13.76,33.3
Strawberry,0.9428531073446327,0.94,0.017670125039992046,0.92,0.99,94.28531073446328,94.0,1.7670125039992086,92,99,89.58090395480225,90.59,3.990944463089294,71.38,95.56,27.853813559322035,28.06,1.1959406691477519,21.08,30.05
Sugercane,0.46562499999999996,0.46,0.0165025427157125,0.44,0.51,46.5625,46.0,1.6502542715712514,44,51,59.44645833333334,60.56,9.960799773317694,32.69,79.31,23.648194444444446,24.115,4.708810170379373,15.73,32.81
Wheat,0.39150684931506846,0.4,0.034108024587211454,0.31,0.46,39.15068493150685,40.0,3.4108024587211436,31,46,57.69715753424657,58.41,10.520319912810697,30.69,82.75,27.040479452054793,28.18,4.713431248421576,15.14,34.3
