Configuration,Features,Feature_Count,Accuracy,Macro_F1,Weighted_F1,Macro_Precision,Macro_Recall
A_All_Features,"Soil_Moisture, Humidity, Temperature",3,0.9930915371329879,0.9929003398555066,0.9930924815991552,0.9919421752755085,0.9939952238668219
B_No_Soil_Moisture,"Humidity, Temperature",2,0.46113989637305697,0.3918311039112824,0.43542682138801825,0.4111213916798715,0.39707094787937236
C_No_Temperature,"Soil_Moisture, Humidity",2,0.9930915371329879,0.9929003398555066,0.9930924815991552,0.9919421752755085,0.9939952238668219
D_No_Humidity,"Soil_Moisture, Temperature",2,0.9913644214162349,0.9905000693657835,0.991372779470895,0.9903089273736039,0.9909088041137356
