Crop,Support,Precision,Recall,F1
Banana,58,1.0,0.9827586206896551,0.991304347826087
Jute,49,1.0,0.9795918367346939,0.9896907216494846
Maize,122,1.0,0.9836065573770492,0.9917355371900827
Mango,51,0.9807692307692307,1.0,0.9902912621359223
Pineapple,36,0.972972972972973,1.0,0.9863013698630136
Potato,65,0.9848484848484849,1.0,0.9923664122137404
Strawberry,89,0.9888888888888889,1.0,0.994413407821229
Sugarcane,36,1.0,1.0,1.0
Wheat,73,1.0,1.0,1.0
