Model,Accuracy,Weighted_F1,Macro_F1
Random Forest,0.9827288428324698,0.9827208970032908,0.978070512428721
LightGBM,0.9879101899827288,0.9878614750169016,0.985894452287368
XGBoost,0.993091537132988,0.9930827629363234,0.9928649914769704
CatBoost,0.993091537132988,0.9930924815991552,0.9929003398555066
