Model,Accuracy,Weighted_Precision,Weighted_Recall,Weighted_F1,Macro_Precision,Macro_Recall,Macro_F1
CatBoost,0.9930915371329879,0.9932167882945087,0.9930915371329879,0.9930924815991552,0.9919421752755085,0.9939952238668219,0.9929003398555066
XGBoost,0.9930915371329879,0.993170109491353,0.9930915371329879,0.9930827629363234,0.9940344314661255,0.9918195509261218,0.9928649914769705
LightGBM,0.9879101899827288,0.9878983040189282,0.9879101899827288,0.9878614750169015,0.987607178454859,0.9842869082394176,0.9858944522873679
Random Forest,0.9827288428324698,0.9832513146256335,0.9827288428324698,0.9827208970032907,0.98078892706413,0.9761094354623118,0.978070512428721
