Crop,Precision,Recall,F1,Support
Banana,1.0,0.9827586206896551,0.991304347826087,58
Jute,1.0,0.9795918367346939,0.9896907216494846,49
Maize,1.0,0.9836065573770492,0.9917355371900827,122
Mango,0.9807692307692307,1.0,0.9902912621359223,51
Pineapple,0.972972972972973,1.0,0.9863013698630136,36
Potato,0.9848484848484849,1.0,0.9923664122137404,65
Strawberry,0.9888888888888889,1.0,0.994413407821229,89
Sugarcane,1.0,1.0,1.0,36
Wheat,1.0,1.0,1.0,73
